impl,locality,depth,op,samples,clock_overhead_ns,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns
sorted,uniform,32,insert,1000000,7,30.4,33,38,44,55,11263
sorted,uniform,32,remove,1000000,7,16.0,14,21,39,52,4951
sorted,uniform,32,trade_baseline,1000000,7,11.4,11,13,14,19,1152
sorted,uniform,64,update,1000000,7,8.7,9,9,10,11,106943
sorted,uniform,64,insert,1000000,7,36.8,37,42,47,52,9871
sorted,uniform,64,remove,1000000,7,23.3,28,34,39,41,5859
sorted,uniform,64,trade_baseline,1000000,7,11.7,12,13,14,14,1505
sorted,uniform,128,update,1000000,7,9.5,9,10,18,23,36671
sorted,uniform,128,insert,1000000,7,43.0,42,49,54,59,2215
sorted,uniform,128,remove,1000000,7,31.6,35,40,49,56,4907
sorted,uniform,128,trade_baseline,1000000,7,11.8,12,13,14,15,1138
sorted,uniform,256,update,1000000,7,9.3,9,10,11,17,6627
sorted,uniform,256,insert,1000000,7,56.3,56,70,81,98,11855
sorted,uniform,256,remove,1000000,7,46.1,43,64,69,84,18847
sorted,uniform,256,trade_baseline,1000000,7,11.6,11,13,14,15,1191
sorted,uniform,512,update,1000000,7,11.0,11,12,18,41,9615
sorted,uniform,512,insert,1000000,7,72.3,72,97,105,122,9871
sorted,uniform,512,remove,1000000,7,68.1,70,96,109,135,116479
sorted,uniform,512,trade_baseline,1000000,7,12.0,12,14,14,15,1480
sorted,uniform,1024,update,1000000,7,12.7,12,13,24,42,120959
sorted,uniform,1024,insert,1000000,7,106.7,105,156,188,250,27695
sorted,uniform,1024,remove,1000000,7,104.1,104,156,180,232,123903
sorted,uniform,1024,trade_baseline,1000000,7,11.6,11,13,14,14,2193
sorted,uniform,2048,update,1000000,7,14.0,14,15,19,53,5883
sorted,uniform,2048,insert,1000000,7,183.2,176,303,363,494,12023
sorted,uniform,2048,remove,1000000,7,171.5,171,273,323,429,13023
sorted,uniform,2048,trade_baseline,1000000,7,11.7,11,13,14,15,5039
rev,uniform,1,update,1000000,7,11.4,11,13,14,14,14647
rev,uniform,1,insert,1000000,7,10.7,11,11,13,24,107903
rev,uniform,1,remove,1000000,7,9.2,9,10,15,19,15359
rev,uniform,1,trade_baseline,1000000,7,12.0,12,14,14,15,1482
rev,uniform,2,update,1000000,7,15.1,16,20,25,28,3621
rev,uniform,2,insert,1000000,7,14.7,16,20,21,24,111167
rev,uniform,2,remove,1000000,7,9.3,9,10,16,19,5399
rev,uniform,2,trade_baseline,1000000,7,12.2,12,14,14,16,1443
rev,uniform,4,update,1000000,7,17.0,17,20,27,33,2339
rev,uniform,4,insert,1000000,7,17.7,19,22,28,33,13567
rev,uniform,4,remove,1000000,7,9.7,9,11,18,25,3929
rev,uniform,4,trade_baseline,1000000,7,12.2,12,14,14,15,87679
rev,uniform,8,update,1000000,7,19.4,19,23,31,40,12631
rev,uniform,8,insert,1000000,7,20.2,20,24,31,42,8163
rev,uniform,8,remove,1000000,7,11.0,11,13,28,32,4863
rev,uniform,8,trade_baseline,1000000,7,12.1,12,14,14,15,3203
rev,uniform,16,update,1000000,7,21.6,21,26,36,44,10847
rev,uniform,16,insert,1000000,7,22.5,22,26,30,35,3415
rev,uniform,16,remove,1000000,7,14.1,14,17,31,37,5463
rev,uniform,16,trade_baseline,1000000,7,12.1,12,14,15,16,1659
rev,uniform,32,update,1000000,7,28.0,27,36,55,68,14431
rev,uniform,32,insert,1000000,7,30.6,29,40,47,53,30687
rev,uniform,32,remove,1000000,7,22.7,21,35,47,63,17903
rev,uniform,32,trade_baseline,1000000,7,11.8,12,14,15,21,3303
rev,uniform,64,update,1000000,7,37.9,37,54,79,103,9639
rev,uniform,64,insert,1000000,7,45.4,46,62,91,121,12391
rev,uniform,64,remove,1000000,7,39.6,41,55,66,104,151039
rev,uniform,64,trade_baseline,1000000,7,11.9,12,14,15,16,4539
rev,uniform,128,update,1000000,7,60.7,59,94,134,193,122687
rev,uniform,128,insert,1000000,7,68.7,69,98,115,178,16959
rev,uniform,128,remove,1000000,7,63.4,63,93,129,184,11831
rev,uniform,128,trade_baseline,1000000,7,12.4,13,14,14,15,2065
rev,uniform,256,update,1000000,7,99.1,99,166,181,228,15119
rev,uniform,256,insert,1000000,7,122.0,118,175,204,333,108031
rev,uniform,256,remove,1000000,7,113.1,110,166,178,195,123967
rev,uniform,256,trade_baseline,1000000,7,12.2,13,13,14,14,1136
rev,uniform,512,update,1000000,7,182.6,182,316,346,426,9967
rev,uniform,512,insert,1000000,7,217.0,215,324,351,432,112511
rev,uniform,512,remove,1000000,7,212.5,214,315,341,386,114495
rev,uniform,512,trade_baseline,1000000,7,12.3,13,14,14,15,1275
rev,uniform,1024,update,1000000,7,351.0,349,619,679,816,124991
rev,uniform,1024,insert,1000000,7,415.6,410,627,684,1259,134911
rev,uniform,1024,remove,1000000,7,407.8,407,611,665,735,125695
rev,uniform,1024,trade_baseline,1000000,7,12.3,13,14,14,15,1950
rev,uniform,2048,update,1000000,7,689.8,686,1224,1345,2221,125375
rev,uniform,2048,insert,1000000,7,826.0,823,1236,1391,2457,132735
rev,uniform,2048,remove,1000000,7,811.6,804,1231,1385,2371,119551
rev,uniform,2048,trade_baseline,1000000,7,12.1,12,14,14,15,1829
